ClientCalcs,Gflops,Temperature,Errors
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
3,117.572,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
6,112.982,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,73,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
9,116.769,74,0
