ClientCalcs,Gflops,Temperature,Errors
3,118.312,71,0
3,118.312,71,0
3,118.312,71,0
3,118.312,71,0
3,118.312,71,0
3,118.312,71,0
3,118.312,71,0
3,118.312,71,0
3,118.312,71,0
3,118.312,71,0
3,118.312,71,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,72,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,73,0
3,118.312,74,0
3,118.312,74,0
3,118.312,74,0
3,118.312,74,0
3,118.312,74,0
3,118.312,74,0
3,118.312,74,0
3,118.312,74,0
3,118.312,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,75,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
6,121.548,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
9,118.896,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
12,118.513,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
15,116.028,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
18,115.348,74,0
